證券代碼,簡稱,年月日,報酬率％
1102   ,亞泥         ,20220311,     0.5382
2498   ,宏達電       ,20220311,    -0.5164
2882   ,國泰金       ,20220311,     0.0000
1102   ,亞泥         ,20220314,     1.0707
2498   ,宏達電       ,20220314,    -0.1730
2882   ,國泰金       ,20220314,     1.4925
1102   ,亞泥         ,20220315,     0.2119
2498   ,宏達電       ,20220315,    -3.6395
2882   ,國泰金       ,20220315,     0.1634
1102   ,亞泥         ,20220316,     0.6342
2498   ,宏達電       ,20220316,     1.0791
2882   ,國泰金       ,20220316,     1.1419
1102   ,亞泥         ,20220317,     0.8403
2498   ,宏達電       ,20220317,     4.2705
2882   ,國泰金       ,20220317,     1.7742
1102   ,亞泥         ,20220318,    -0.2083
2498   ,宏達電       ,20220318,    -0.1706
2882   ,國泰金       ,20220318,     0.3170
1102   ,亞泥         ,20220321,     0.7307
2498   ,宏達電       ,20220321,     0.0000
2882   ,國泰金       ,20220321,     0.4739
1102   ,亞泥         ,20220322,     0.1036
2498   ,宏達電       ,20220322,     1.3675
2882   ,國泰金       ,20220322,     0.0000
1102   ,亞泥         ,20220323,    -0.4141
2498   ,宏達電       ,20220323,     0.6745
2882   ,國泰金       ,20220323,     1.8868
1102   ,亞泥         ,20220324,     0.7277
2498   ,宏達電       ,20220324,     3.5176
2882   ,國泰金       ,20220324,    -0.7716
1102   ,亞泥         ,20220325,    -0.4128
2498   ,宏達電       ,20220325,    -4.0453
2882   ,國泰金       ,20220325,    -1.2442
1102   ,亞泥         ,20220328,    -0.3109
2498   ,宏達電       ,20220328,     0.6745
2882   ,國泰金       ,20220328,    -0.3150
1102   ,亞泥         ,20220329,     0.6237
2498   ,宏達電       ,20220329,     0.1675
2882   ,國泰金       ,20220329,     0.7899
1102   ,亞泥         ,20220330,     0.2066
2498   ,宏達電       ,20220330,     0.8361
2882   ,國泰金       ,20220330,     0.9404
1102   ,亞泥         ,20220331,     0.2062
2498   ,宏達電       ,20220331,    -1.8242
2882   ,國泰金       ,20220331,     0.1553
1102   ,亞泥         ,20220401,    -1.2346
2498   ,宏達電       ,20220401,     1.3514
2882   ,國泰金       ,20220401,     0.7752
1102   ,亞泥         ,20220406,     0.9375
2498   ,宏達電       ,20220406,    -2.0000
2882   ,國泰金       ,20220406,     0.7692
1102   ,亞泥         ,20220407,    -1.0320
2498   ,宏達電       ,20220407,    -5.2721
2882   ,國泰金       ,20220407,    -1.0687
1102   ,亞泥         ,20220408,    -0.3128
2498   ,宏達電       ,20220408,     1.7953
2882   ,國泰金       ,20220408,     0.3086
1102   ,亞泥         ,20220411,    -0.4184
2498   ,宏達電       ,20220411,    -4.7619
2882   ,國泰金       ,20220411,    -0.3077
1102   ,亞泥         ,20220412,    -0.8403
2498   ,宏達電       ,20220412,     0.0000
2882   ,國泰金       ,20220412,     0.1543
1102   ,亞泥         ,20220413,     0.6356
2498   ,宏達電       ,20220413,     4.8148
2882   ,國泰金       ,20220413,     0.7704
1102   ,亞泥         ,20220414,    -0.6316
2498   ,宏達電       ,20220414,    -0.8834
2882   ,國泰金       ,20220414,    -1.0703
1102   ,亞泥         ,20220415,    -0.6356
2498   ,宏達電       ,20220415,    -3.3868
2882   ,國泰金       ,20220415,    -1.0819
